leiden,celltype
28,Neutrophil
46,Mast-Cells
31,B-Cells
45,Schwann
39,Schwann
19,Macrophage
21,Keratinocyte
23,Keratinocyte
38,Keratinocyte
42,Keratinocyte
13,SMC
32,SMC
0,Fibroblast
7,Fibroblast
18,Fibroblast
15,Fibroblast
12,Fibroblast
2,Endothelial
26,Endothelial
36,T-Cells
11,Osteoblast
9,Osteoblast
20,Osteoblast
10,Osteoblast
25,Osteoblast
14,Osteoblast
27,Osteoblast
11,Osteoblast
14,Osteoblast
1,Osteoblast
37,Pericyte
32,Pericyte
5,Pericyte
44,Synoviocyte
48,Lymphatic_Endothelial
35,Lymphatic_Endothelial
34,Osteoclast
29,Macrophage
40,Macrophage
47,Macrophage
4,Macrophage
3,Macrophage
